id	sale_date	due_date	payment_method	debt_type	is_paid
148	2026-03-05	2026-03-05	Debt		0
150	2026-03-06	2026-03-06	Debt	Monthly	0
157	2026-03-08	2026-03-08	Debt		0
158	2026-03-08	2026-03-08	Debt		0
159	2026-03-08	2026-03-08	Debt		0
161	2026-03-07	2026-03-08	Debt		0
162	2026-03-07	2026-03-08	Debt		0
163	2026-03-07	2026-03-08	Debt		0
164	2026-03-07	2026-03-08	Debt		0
165	2026-03-07	2026-03-09	Debt	Deferred	0
166	2026-03-07	2026-03-08	Debt	Deferred	0
167	2026-03-07	2026-03-08	Debt	Deferred	0
168	2026-03-07	2026-03-08	Debt	Deferred	0
169	2026-03-07	2026-03-08	Debt	Deferred	0
170	2026-03-07	2026-03-08	Debt	Deferred	0
171	2026-03-07	2026-03-08	Debt	Deferred	0
172	2026-03-08	2026-03-09	Debt	Deferred	0
285	2026-03-08	2026-03-09	Debt	Deferred	0
286	2026-03-09	2026-03-10	Debt	Deferred	0
287	2026-03-09	2026-03-10	Debt	Deferred	0
288	2026-03-09	2026-03-10	Debt	Deferred	0
289	2026-03-09	2026-03-10	Debt	Deferred	0
290	2026-03-09	2026-03-10	Debt	Deferred	0
291	2026-03-09	2026-03-10	Debt	Deferred	0
292	2026-03-09	2026-03-10	Debt	Deferred	0
